firm_name,group,product_category,complaints_opened,complaints_closed,period_label,period_order,period_start,period_end,year,half,pre_post_duty,upheld_pct,pct_closed_3days,firm_type,record_id,complaints_change_abs,complaints_change_pct,upheld_change_ppts,high_uphold_flag,upheld_band
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Banking & Credit Cards,1180,1146.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,60.1,27.7,Other Financial Services,1,,,,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Banking & Credit Cards,923,954.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,56.6,22.5,Other Financial Services,2,-257.0,-21.8,-3.5,1,High (50-70%)
AIB Group (UK) Plc,,Banking & Credit Cards,842,873.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,49.4,28.6,Other Financial Services,3,-81.0,-8.8,-7.2,0,Moderate (35-50%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Banking & Credit Cards,682,689.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,54.7,35.0,Other Financial Services,4,-160.0,-19.0,5.3,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Banking & Credit Cards,537,552.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,58.9,30.1,Other Financial Services,5,-145.0,-21.3,4.2,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Home Finance,31,31.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,71.0,38.7,Other Financial Services,6,,,,1,Very High (70%+)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Home Finance,44,43.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,79.1,23.3,Other Financial Services,7,13.0,41.9,8.1,1,Very High (70%+)
AIB Group (UK) Plc,,Home Finance,36,41.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,41.5,14.6,Other Financial Services,8,-8.0,-18.2,-37.6,0,Moderate (35-50%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Home Finance,25,23.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,65.2,13.0,Other Financial Services,9,-11.0,-30.6,23.7,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Home Finance,27,28.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,50.0,32.1,Other Financial Services,10,2.0,8.0,-15.2,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Insurance & Pure Protection,3,2.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,50.0,,Other Financial Services,11,,,,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Insurance & Pure Protection,3,3.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,33.3,,Other Financial Services,12,0.0,0.0,-16.7,0,Lower (<35%)
AIB Group (UK) Plc,,Insurance & Pure Protection,2,3.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,33.3,0.0,Other Financial Services,13,-1.0,-33.3,0.0,0,Lower (<35%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Insurance & Pure Protection,1,1.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,100.0,0.0,Other Financial Services,14,-1.0,-50.0,66.7,1,Very High (70%+)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Insurance & Pure Protection,2,1.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,0.0,0.0,Other Financial Services,15,1.0,100.0,-100.0,0,Lower (<35%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Investments,1,1.0,H2 2022,2,2022-07-01,2022-12-31,2022,2,Pre-Duty,100.0,,Other Financial Services,16,,,,1,Very High (70%+)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Investments,2,2.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,50.0,50.0,Other Financial Services,17,1.0,100.0,-50.0,1,High (50-70%)
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,Investments,2,1.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,0.0,0.0,Other Financial Services,18,0.0,0.0,-50.0,0,Lower (<35%)
AIG Life Limited,,Insurance & Pure Protection,737,696.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,43.2,58.5,Other Financial Services,19,,,,0,Moderate (35-50%)
AIG Life Limited,NO GROUP,Insurance & Pure Protection,533,553.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,44.8,7.6,Other Financial Services,20,-204.0,-27.7,1.6,0,Moderate (35-50%)
AIG Life Limited,AVIVA PLC,Insurance & Pure Protection,633,,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,42.7,9.9,Other Financial Services,21,100.0,18.8,-2.1,0,Moderate (35-50%)
AJ Bell Management Limited,NO GROUP,Banking & Credit Cards,14,15.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,46.7,53.3,Investment Platform,22,,,,0,Moderate (35-50%)
AJ Bell Management Limited,,Banking & Credit Cards,106,37.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,73.0,37.8,Investment Platform,23,92.0,657.1,26.3,1,Very High (70%+)
AJ Bell Management Limited,NO GROUP,Decumulation & Pensions,489,587.0,H1 2022,1,2022-01-01,2022-06-30,2022,1,Pre-Duty,46.0,38.5,Investment Platform,24,,,,0,Moderate (35-50%)
AJ Bell Management Limited,,Decumulation & Pensions,502,604.0,H1 2023,3,2023-01-01,2023-06-30,2023,1,Pre-Duty,41.9,44.9,Investment Platform,25,13.0,2.7,-4.1,0,Moderate (35-50%)
AJ Bell Management Limited,NO GROUP,Decumulation & Pensions,666,674.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,51.8,41.4,Investment Platform,26,164.0,32.7,9.9,1,High (50-70%)
AJ Bell Management Limited,AJ BELL GROUP,Decumulation & Pensions,763,772.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,47.4,44.2,Investment Platform,27,97.0,14.6,-4.4,0,Moderate (35-50%)
AJ Bell Securities Limited,NO GROUP,Banking & Credit Cards,40,38.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,29.0,26.3,Investment Platform,28,,,,0,Lower (<35%)
AJ Bell Securities Limited,AJ BELL GROUP,Banking & Credit Cards,23,27.0,H1 2024,5,2024-01-01,2024-06-30,2024,1,Post-Duty,59.3,25.9,Investment Platform,29,-17.0,-42.5,30.3,1,High (50-70%)
AJ Bell Securities Limited,NO GROUP,Decumulation & Pensions,120,129.0,H2 2023,4,2023-07-01,2023-12-31,2023,2,Post-Duty,37.2,17.0,Investment Platform,30,,,,0,Moderate (35-50%)
